State,Time,Device,Unit,
0,2024-09-11T19:28:40.000Z,illuminance_sensor,lux,
0,2024-09-11T19:30:39.000Z,illuminance_sensor,lux,
0,2024-09-11T19:32:39.000Z,illuminance_sensor,lux,
0,2024-09-11T19:34:41.000Z,illuminance_sensor,lux,
0,2024-09-11T19:36:40.000Z,illuminance_sensor,lux,
0,2024-09-11T19:38:41.000Z,illuminance_sensor,lux,
0,2024-09-11T19:40:39.000Z,illuminance_sensor,lux,
0,2024-09-11T19:42:39.000Z,illuminance_sensor,lux,
0,2024-09-11T19:44:39.000Z,illuminance_sensor,lux,
0,2024-09-11T19:46:41.000Z,illuminance_sensor,lux,
0,2024-09-11T19:48:39.000Z,illuminance_sensor,lux,
0,2024-09-11T19:50:39.000Z,illuminance_sensor,lux,
0,2024-09-11T19:52:39.000Z,illuminance_sensor,lux,
0,2024-09-11T19:54:39.000Z,illuminance_sensor,lux,
0,2024-09-11T19:56:39.000Z,illuminance_sensor,lux,
0,2024-09-11T19:58:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:00:41.000Z,illuminance_sensor,lux,
0,2024-09-11T20:02:41.000Z,illuminance_sensor,lux,
0,2024-09-11T20:04:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:06:41.000Z,illuminance_sensor,lux,
0,2024-09-11T20:08:41.000Z,illuminance_sensor,lux,
0,2024-09-11T20:10:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:12:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:14:40.000Z,illuminance_sensor,lux,
0,2024-09-11T20:16:40.000Z,illuminance_sensor,lux,
0,2024-09-11T20:18:41.000Z,illuminance_sensor,lux,
0,2024-09-11T20:20:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:22:41.000Z,illuminance_sensor,lux,
0,2024-09-11T20:24:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:26:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:28:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:30:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:32:41.000Z,illuminance_sensor,lux,
0,2024-09-11T20:34:42.000Z,illuminance_sensor,lux,
0,2024-09-11T20:36:40.000Z,illuminance_sensor,lux,
0,2024-09-11T20:38:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:40:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:42:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:44:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:46:40.000Z,illuminance_sensor,lux,
0,2024-09-11T20:48:40.000Z,illuminance_sensor,lux,
0,2024-09-11T20:50:42.000Z,illuminance_sensor,lux,
0,2024-09-11T20:52:39.000Z,illuminance_sensor,lux,
0,2024-09-11T20:54:05.000Z,illuminance_sensor,lux,
0,2024-09-11T20:56:05.000Z,illuminance_sensor,lux,
0,2024-09-11T20:58:19.000Z,illuminance_sensor,lux,
0,2024-09-11T21:00:43.000Z,illuminance_sensor,lux,
0,2024-09-11T21:02:43.000Z,illuminance_sensor,lux,
0,2024-09-11T21:04:20.000Z,illuminance_sensor,lux,
0,2024-09-11T21:06:52.000Z,illuminance_sensor,lux,
0,2024-09-11T21:09:10.000Z,illuminance_sensor,lux,
0,2024-09-11T21:11:08.000Z,illuminance_sensor,lux,
0,2024-09-11T21:16:10.000Z,illuminance_sensor,lux,
0,2024-09-11T21:18:30.000Z,illuminance_sensor,lux,
0,2024-09-11T21:19:54.000Z,illuminance_sensor,lux,
0,2024-09-11T21:22:36.000Z,illuminance_sensor,lux,
0,2024-09-11T21:25:20.000Z,illuminance_sensor,lux,
0,2024-09-11T21:28:36.000Z,illuminance_sensor,lux,
0,2024-09-11T21:32:49.000Z,illuminance_sensor,lux,
0,2024-09-11T21:33:52.000Z,illuminance_sensor,lux,
0,2024-09-11T21:35:53.000Z,illuminance_sensor,lux,
0,2024-09-11T21:37:17.000Z,illuminance_sensor,lux,
0,2024-09-11T21:42:14.000Z,illuminance_sensor,lux,
0,2024-09-11T21:52:52.000Z,illuminance_sensor,lux,
0,2024-09-11T21:54:06.000Z,illuminance_sensor,lux,
0,2024-09-11T21:57:26.000Z,illuminance_sensor,lux,
0,2024-09-11T21:58:32.000Z,illuminance_sensor,lux,
0,2024-09-11T22:00:25.000Z,illuminance_sensor,lux,
0,2024-09-11T22:10:38.000Z,illuminance_sensor,lux,
0,2024-09-11T22:12:38.000Z,illuminance_sensor,lux,
0,2024-09-11T22:35:20.000Z,illuminance_sensor,lux,
0,2024-09-11T22:37:18.000Z,illuminance_sensor,lux,
0,2024-09-11T23:05:46.000Z,illuminance_sensor,lux,
0,2024-09-11T23:11:36.000Z,illuminance_sensor,lux,
0,2024-09-11T23:21:26.000Z,illuminance_sensor,lux,
0,2024-09-11T23:25:16.000Z,illuminance_sensor,lux,
0,2024-09-11T23:27:47.000Z,illuminance_sensor,lux,
