State,Time,Device,Unit
43.14,18:07:55,voltage_sensor,V
43.11,18:08:28,voltage_sensor,V
43.07,18:08:49,voltage_sensor,V
43.07,18:09:10,voltage_sensor,V
42.98,18:10:31,voltage_sensor,V
42.98,18:10:53,voltage_sensor,V
42.9,18:11:15,voltage_sensor,V
42.9,18:11:37,voltage_sensor,V
42.75,18:12:10,voltage_sensor,V
42.68,18:12:32,voltage_sensor,V
42.68,18:12:54,voltage_sensor,V
42.64,18:13:27,voltage_sensor,V
42.596000000000004,18:13:49,voltage_sensor,V
42.5616,18:14:11,voltage_sensor,V
42.51696,18:14:33,voltage_sensor,V
42.462176,18:15:06,voltage_sensor,V
42.4053056,18:15:28,voltage_sensor,V
42.35518336,18:15:50,voltage_sensor,V
42.297110016,18:16:22,voltage_sensor,V
42.2302660096,18:16:44,voltage_sensor,V
42.16215960576,18:17:06,voltage_sensor,V
42.097295763456,18:17:28,voltage_sensor,V
42.0223774580736,18:18:00,voltage_sensor,V
41.953426474844164,18:18:21,voltage_sensor,V
41.8760558849065,18:18:43,voltage_sensor,V
41.7936335309439,18:19:16,voltage_sensor,V
41.72018011856634,18:19:38,voltage_sensor,V
41.632108071139804,18:19:59,voltage_sensor,V
41.51926484268388,18:20:32,voltage_sensor,V
41.42355890561033,18:20:54,voltage_sensor,V
41.3261353433662,18:21:16,voltage_sensor,V
41.23168120601972,18:21:37,voltage_sensor,V
41.11500872361184,18:22:10,voltage_sensor,V
40.9690052341671,18:22:32,voltage_sensor,V
40.82940314050026,18:22:54,voltage_sensor,V
40.669641884300155,18:23:26,voltage_sensor,V
40.51378513058009,18:23:48,voltage_sensor,V
40.35227107834805,18:24:10,voltage_sensor,V
40.175362647008825,18:24:32,voltage_sensor,V
39.9852175882053,18:25:05,voltage_sensor,V
39.76713055292318,18:25:27,voltage_sensor,V
39.500278331753904,18:25:49,voltage_sensor,V
39.17616699905234,18:26:21,voltage_sensor,V
38.793700199431406,18:26:42,voltage_sensor,V
38.252220119658844,18:27:05,voltage_sensor,V
36.81933207179531,18:27:36,voltage_sensor,V
34.93959924307718,18:27:58,voltage_sensor,V
33.67175954584631,18:28:20,voltage_sensor,V
32.89505572750778,18:28:41,voltage_sensor,V
32.393033436504666,18:29:14,voltage_sensor,V
32.393033436504666,18:29:36,voltage_sensor,V
33.05349203714168,18:29:58,voltage_sensor,V
33.54005713337101,18:30:31,voltage_sensor,V
33.54005713337101,18:30:53,voltage_sensor,V
33.54005713337101,18:31:15,voltage_sensor,V
33.49137234080814,18:31:37,voltage_sensor,V
33.49137234080814,18:32:09,voltage_sensor,V
33.594823404484885,18:32:31,voltage_sensor,V
34.11173642561456,18:32:53,voltage_sensor,V
34.11173642561456,18:33:25,voltage_sensor,V
34.11173642561456,18:33:47,voltage_sensor,V
35.220135067932745,18:34:09,voltage_sensor,V
35.220135067932745,18:34:41,voltage_sensor,V
33.81608104075965,18:35:03,voltage_sensor,V
33.81608104075965,18:35:25,voltage_sensor,V
34.18619350480408,18:35:47,voltage_sensor,V
34.18619350480408,18:36:19,voltage_sensor,V
32.867716102882454,18:36:41,voltage_sensor,V
32.867716102882454,18:37:02,voltage_sensor,V
32.867716102882454,18:37:35,voltage_sensor,V
32.775496006933565,18:37:57,voltage_sensor,V
32.775496006933565,18:38:19,voltage_sensor,V
33.10557856249608,18:38:52,voltage_sensor,V
33.10557856249608,18:39:14,voltage_sensor,V
32.42200828249859,18:39:35,voltage_sensor,V
32.42200828249859,18:39:57,voltage_sensor,V
32.465204969499155,18:40:29,voltage_sensor,V
34.67912298169949,18:40:49,voltage_sensor,V
36.24747378901969,18:41:22,voltage_sensor,V
37.14848427341182,18:41:44,voltage_sensor,V
37.493090564047094,18:42:06,voltage_sensor,V
37.52551260305695,18:42:28,voltage_sensor,V
37.52551260305695,18:43:01,voltage_sensor,V
37.52551260305695,18:43:22,voltage_sensor,V
35.6387907222603,18:43:44,voltage_sensor,V
35.6387907222603,18:44:17,voltage_sensor,V
33.44327443335618,18:44:38,voltage_sensor,V
33.44327443335618,18:45:00,voltage_sensor,V
33.44327443335618,18:45:32,voltage_sensor,V
33.15062727760494,18:45:54,voltage_sensor,V
32.282376366562964,18:46:15,voltage_sensor,V
31.28142581993778,18:46:36,voltage_sensor,V
31.28142581993778,18:47:08,voltage_sensor,V
32.839827977106566,18:47:30,voltage_sensor,V
32.839827977106566,18:47:52,voltage_sensor,V
32.02789678626394,18:48:25,voltage_sensor,V
31.63273807175836,18:48:46,voltage_sensor,V
31.087642843055015,18:49:08,voltage_sensor,V
30.74858570583301,18:49:39,voltage_sensor,V
32.629151423499806,18:50:01,voltage_sensor,V
31.617490854099884,18:50:22,voltage_sensor,V
31.294494512459927,18:50:54,voltage_sensor,V
34.78,18:51:16,voltage_sensor,V
